sent0	sent1	label
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	1
what position did <e> serve in the constitutional convention?	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .	0
what position did <e> serve in the constitutional convention?	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.office_position_or_title ?x .	0
what position did <e> serve in the constitutional convention?	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.basic_title ?x .	0
what position did <e> serve in the constitutional convention?	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.appointed_by ?x .	0
what position did <e> serve in the constitutional convention?	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.to ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.article ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:type.object.name ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.description ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.image ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:people.ethnicity.people ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:people.ethnicity.includes_groups ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:book.poem_character.appears_in_poems ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:book.book_subject.works ?x .	0
what position did <e> serve in the constitutional convention?	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:common.topic.notable_for ?x .	0
what position did <e> serve in the constitutional convention?	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:law.constitutional_convention.delegates ?x .	0
what position did <e> serve in the constitutional convention?	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:law.constitutional_convention.constitution ?x .	0
what position did <e> serve in the constitutional convention?	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:organization.organization.committees ?x .	0
what position did <e> serve in the constitutional convention?	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:common.topic.notable_for ?x .	0
what position did <e> serve in the constitutional convention?	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:common.topic.notable_types ?x .	0
what position did <e> serve in the constitutional convention?	ns:military.military_person.participated_in_conflicts ?y .?y ns:military.military_conflict.military_personnel_involved ?x .	0
what position did <e> serve in the constitutional convention?	ns:military.military_person.participated_in_conflicts ?y .?y ns:book.book_subject.works ?x .	0
what position did <e> serve in the constitutional convention?	ns:military.military_person.participated_in_conflicts ?y .?y ns:time.event.includes_event ?x .	0
what position did <e> serve in the constitutional convention?	ns:military.military_person.participated_in_conflicts ?y .?y ns:common.topic.notable_for ?x .	0
what position did <e> serve in the constitutional convention?	ns:military.military_person.participated_in_conflicts ?y .?y ns:common.topic.notable_types ?x .	0
who led the mexican calvary in the <e>?	ns:base.culturalevent.event.entity_involved ?x .	1
who led the mexican calvary in the <e>?	ns:military.military_conflict.combatants ?x .	0
who led the mexican calvary in the <e>?	ns:time.event.included_in_event ?x .	0
who led the mexican calvary in the <e>?	ns:time.event.start_date ?x .	0
who led the mexican calvary in the <e>?	ns:time.event.end_date ?x .	0
who led the mexican calvary in the <e>?	ns:user.avh.default_domain.ellerdale_topic.ellerdale_id ?x .	0
who played <e> in two film versions of the odd couple?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	1
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.portrayed_by ?y .?y ns:theater.theater_role.actor ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.portrayed_by ?y .?y ns:theater.theater_role.play ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.portrayed_by ?y .?y ns:theater.theater_role.role ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.portrayed_by ?y .?y ns:type.object.type ?x .	0
who played <e> in two film versions of the odd couple?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	0
who played <e> in two film versions of the odd couple?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.character ?x .	0
who played <e> in two film versions of the odd couple?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.series ?x .	0
who played <e> in two film versions of the odd couple?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:type.object.type ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.plays_appears_in ?y .?y ns:theater.play.characters ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.plays_appears_in ?y .?y ns:theater.play.date_of_first_performance ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.plays_appears_in ?y .?y ns:theater.play.productions ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.plays_appears_in ?y .?y ns:media_common.adapted_work.adaptations ?x .	0
who played <e> in two film versions of the odd couple?	ns:theater.theater_character.plays_appears_in ?y .?y ns:user.avh.default_domain.ellerdale_topic.ellerdale_id ?x .	0
who played <e> in two film versions of the odd couple?	ns:fictional_universe.fictional_character.gender ?y .?y ns:fictional_universe.character_gender.characters_of_this_gender ?x .	0
who played <e> in two film versions of the odd couple?	ns:fictional_universe.fictional_character.gender ?y .?y ns:fictional_universe.fictional_setting.fictional_characters_born_here ?x .	0
who played <e> in two film versions of the odd couple?	ns:fictional_universe.fictional_character.gender ?y .?y ns:base.gender.gender_identity.people ?x .	0
who played <e> in two film versions of the odd couple?	ns:fictional_universe.fictional_character.gender ?y .?y ns:base.thoroughbredracing.thoroughbred_racehorse_sex.horses_of_this_sex ?x .	0
who played <e> in two film versions of the odd couple?	ns:fictional_universe.fictional_character.gender ?y .?y ns:freebase.linguistic_hint.plural ?x .	0
which tv shows has <e> starred in	ns:book.author.works_written ?x .	1
which tv shows has <e> starred in	ns:tv.tv_personality.tv_regular_appearances ?x .	0
which tv shows has <e> starred in	ns:people.person.places_lived ?x .	0
which tv shows has <e> starred in	ns:people.person.profession ?x .	0
which tv shows has <e> starred in	ns:music.producer.tracks_produced ?x .	0
which tv shows has <e> starred in	ns:music.artist.track ?x .	0
which roman catholic person was the daughter of <e>	ns:people.person.children ?x .	1
which roman catholic person was the daughter of <e>	ns:people.person.parents ?x .	0
which roman catholic person was the daughter of <e>	ns:people.person.sibling_s ?x .	0
which roman catholic person was the daughter of <e>	ns:people.person.spouse_s ?x .	0
which roman catholic person was the daughter of <e>	ns:people.person.date_of_birth ?x .	0
which roman catholic person was the daughter of <e>	ns:people.person.place_of_birth ?x .	0
what was one thing <e> is famous for?	ns:base.argumentmaps.innovator.original_ideas ?x .	1
what was one thing <e> is famous for?	ns:government.politician.government_positions_held ?x .	0
what was one thing <e> is famous for?	ns:common.topic.notable_types ?x .	0
what was one thing <e> is famous for?	ns:people.person.profession ?x .	0
what was one thing <e> is famous for?	ns:common.topic.notable_for ?x .	0
what was one thing <e> is famous for?	ns:book.book_subject.works ?x .	0
who produced a midnight clear and <e>?	ns:film.film.produced_by ?x .	1
who produced a midnight clear and <e>?	ns:film.film.edited_by ?x .	0
who produced a midnight clear and <e>?	ns:film.film.directed_by ?x .	0
who produced a midnight clear and <e>?	ns:film.film.written_by ?x .	0
who produced a midnight clear and <e>?	ns:film.film.executive_produced_by ?x .	0
who produced a midnight clear and <e>?	ns:film.film.film_art_direction_by ?x .	0
what does <e> own 2012?	ns:organization.organization_founder.organizations_founded ?x .	1
what does <e> own 2012?	ns:business.board_member.organization_board_memberships ?x .	0
what does <e> own 2012?	ns:business.board_member.leader_of ?x .	0
what does <e> own 2012?	ns:organization.organization.headquarters ?x .	0
what does <e> own 2012?	ns:people.person.employment_history ?x .	0
what does <e> own 2012?	ns:user.narphorium.people.wealthy_person.net_worth ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.regular_cast ?y .?y ns:tv.regular_tv_appearance.actor ?x .	1
who played maxie jones on <e>?	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.tv_program ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.writer ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.end_date ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.recurring_writers ?y .?y ns:tv.tv_program_writer_relationship.start_date ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.recurring_writers ?y .?y ns:type.object.type ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.producer ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.from ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.producer_type ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.tv_producer ?y .?y ns:type.object.type ?x .	0
who played maxie jones on <e>?	ns:tv.tv_program.tv_producer ?y .?y ns:tv.tv_producer_term.program ?x .	0
where did <e> live before the war?	ns:people.person.place_of_birth ?x .	1
where did <e> live before the war?	ns:people.person.places_lived ?x .	0
where did <e> live before the war?	ns:people.deceased_person.place_of_death ?x .	0
where did <e> live before the war?	ns:people.deceased_person.place_of_burial ?x .	0
where did <e> live before the war?	ns:people.person.nationality ?x .	0
where did <e> live before the war?	ns:people.person.ethnicity ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	1
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.members ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.jurisdiction ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.body_this_is_a_component_of ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.component_bodies ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:common.topic.notable_for ?x .	0
who is the governor of <e> currently?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	0
who is the governor of <e> currently?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.governmental_body ?x .	0
who is the governor of <e> currently?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.appointed_by ?x .	0
who is the governor of <e> currently?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_position_or_title ?x .	0
who is the governor of <e> currently?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.agencies ?y .?y ns:government.government_agency.jurisdiction ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.notable_for ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.notable_types ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.agencies ?y .?y ns:organization.organization.sectors ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.article ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:government.government_office_or_title.office_holders ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:government.government_office_or_title.jurisdiction ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:government.government_office_or_title.category ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:common.topic.notable_for ?x .	0
who is the governor of <e> currently?	ns:government.governmental_jurisdiction.government_positions ?y .?y ns:common.topic.notable_types ?x .	0
who is the governor of <e> currently?	ns:base.aareas.schema.administrative_area.capital ?y .?y ns:government.governmental_jurisdiction.governing_officials ?x .	0
who is the governor of <e> currently?	ns:base.aareas.schema.administrative_area.capital ?y .?y ns:common.identity.daylife_topic ?x .	0
who is the governor of <e> currently?	ns:base.aareas.schema.administrative_area.capital ?y .?y ns:common.topic.notable_for ?x .	0
who is the governor of <e> currently?	ns:base.aareas.schema.administrative_area.capital ?y .?y ns:location.statistical_region.population ?x .	0
who is the governor of <e> currently?	ns:base.aareas.schema.administrative_area.capital ?y .?y ns:location.hud_foreclosure_area.total_90_day_vacant_residential_addresses ?x .	0
who won <e> season 5?	ns:award.competition.winner ?x .	1
who won <e> season 5?	ns:award.competition.type_of_competition ?x .	0
who won <e> season 5?	ns:base.realitytv.reality_tv_season.contestants ?x .	0
who won <e> season 5?	ns:award.competition.instance_of_recurring_competition ?x .	0
who won <e> season 5?	ns:tv.tv_series_season.to ?x .	0
who won <e> season 5?	ns:tv.tv_series_season.regular_personal_appearances ?x .	0
what was the cause of death of <e>	ns:people.deceased_person.cause_of_death ?x .	1
what was the cause of death of <e>	ns:people.deceased_person.date_of_death ?x .	0
what was the cause of death of <e>	ns:people.deceased_person.place_of_death ?x .	0
what was the cause of death of <e>	ns:people.person.nationality ?x .	0
what was the cause of death of <e>	ns:people.person.gender ?x .	0
what was the cause of death of <e>	ns:base.prison.prisoner.imprisoned ?x .	0
what high school did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	1
what high school did <e> go to	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.school ?x .	0
what high school did <e> go to	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.draft ?x .	0
what high school did <e> go to	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.team ?x .	0
what high school did <e> go to	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.player ?x .	0
