sent0	sent1	hard_neg
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.jurisdiction_of_office ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.office_position_or_title ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.basic_title ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.appointed_by ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.to ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.article ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:type.object.name ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.description ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?y .?y ns:common.topic.image ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:people.ethnicity.people ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:people.ethnicity.includes_groups ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:book.poem_character.appears_in_poems ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:book.book_subject.works ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:base.honouriam.honoured_person.honoured_by ?y .?y ns:common.topic.notable_for ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:law.constitutional_convention.delegates ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:law.constitutional_convention.constitution ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:organization.organization.committees ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:common.topic.notable_for ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:law.constitutional_convention_delegate.constitutional_conventions ?y .?y ns:common.topic.notable_types ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:military.military_conflict.military_personnel_involved ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:book.book_subject.works ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:time.event.includes_event ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:common.topic.notable_for ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:military.military_person.participated_in_conflicts ?y .?y ns:common.topic.notable_types ?x .
who led the mexican calvary in the <e>?	ns:base.culturalevent.event.entity_involved ?x .	ns:military.military_conflict.combatants ?x .
who led the mexican calvary in the <e>?	ns:base.culturalevent.event.entity_involved ?x .	ns:time.event.included_in_event ?x .
