sent0	sent1	hard_neg
who is prime minister of <e> 2011?	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.government_bodies ?y .?y ns:government.governmental_body.members ?x .
what is the <e> current roster?	ns:sports.sports_team.roster ?y .?y ns:sports.sports_team_roster.player ?x .	ns:sports.sports_team.team_mascot ?y .?y ns:kg.object_profile.prominent_type ?x .
who wrote <e> is our god?	ns:music.composition.composer ?x .	ns:common.topic.notable_for ?x .
which film starring <e> was released in 1982	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:tv.tv_actor.starring_roles ?y .?y ns:tv.regular_tv_appearance.character ?x .
who did Odysseus fight against in the Trojan War?	ns:protected_sites.listed_site.designation_as_natural_or_cultural_site ?y .?y ns:protected_sites.natural_or_cultural_site_listing.listed_site ?x .	ns:base.ontologies.ontology_instance.equivalent_instances ?y .?y ns:type.object.type ?x .
who plays <e> in doctor who?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:book.book_character.appears_in_book ?y .?y ns:common.topic.alias ?x .
what university did <e> go to	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.place_of_birth ?y .?y ns:type.object.type ?x .
who wrote <e> is our god?	ns:music.composition.composer ?x .	ns:common.topic.notable_types ?x .
who played <e> in the original star wars movies?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:user.jschell.default_domain.fictional_character.appeared_in ?y .?y ns:film.film.other_crew ?x .
when does One Direction play at the Olympics?	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.year ?x .	ns:award.award_winner.awards_won ?y .?y ns:award.award_honor.award ?x .
who <e> in cuba in 1959?	ns:military.military_conflict.commanders ?y .?y ns:military.military_command.military_commander ?x .	ns:common.topic.notable_for ?y .?y ns:type.object.type ?x .
who was the original voice of <e> on family guy?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:tv.tv_character.first_tv_appearance ?y .?y ns:tv.tv_series_episode.guest_stars ?x .
which movie did <e> star in in 2001	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.profession ?y .?y ns:common.topic.alias ?x .
which state was <e> born in?	ns:people.person.places_lived ?y .?y ns:people.place_lived.location ?x .	ns:people.person.education ?y .?y ns:education.education.institution ?x .
what english films has <e> acted in	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:people.person.nationality ?y .?y ns:base.popstra.location.arrestee ?x .
what position did <e> serve in the constitutional convention?	ns:government.politician.government_positions_held ?y .?y ns:government.government_position_held.office_position_or_title ?x .	ns:government.political_appointer.appointees ?y .?y ns:government.government_position_held.basic_title ?x .
who is the new senator of <e>?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.governing_officials ?y .?y ns:government.government_position_held.to ?x .
which us senator was the son of <e>	ns:people.person.children ?x .	ns:common.topic.image ?x .
what teams did <e> play for in the nba?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:basketball.basketball_coach.team ?y .?y ns:sports.sports_team.roster ?x .
when was <e> first superbowl win?	ns:tv.tv_actor.guest_roles ?y .?y ns:tv.tv_guest_role.episodes_appeared_in ?x .	ns:user.dylanrocks.national_football_league.nfl_draft_diamond_in_the_rough.team_drafting ?y .?y ns:sports.sports_team.championships ?x .
what team does <e> play for 2013?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.career_start ?x .
what year did the <e> go to the world series?	ns:sports.sports_team.championships ?x .	ns:baseball.baseball_team.team_stats ?x .
who was <e> to visit all of the first states in the us?	ns:fictional_universe.person_in_fiction.representations_in_fiction ?x .	ns:base.honouriam.honoured_person.honour_bestowed ?x .
what is the film <e> about	ns:film.film.subjects ?x .	ns:media_common.netflix_title.netflix_genres ?x .
who is <e> playing for in 2012?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.team ?x .	ns:sports.pro_athlete.sports_played_professionally ?y .?y ns:sports.pro_sports_played.sport ?x .
when were the Commonwealth Games held in Edinburgh?	ns:business.employer.employees ?y .?y ns:business.employment_tenure.from ?x .	ns:location.location.geolocation ?y .?y ns:location.geocode.latitude ?x .
who was the first actor to play <e>?	ns:tv.tv_character.appeared_in_tv_program ?y .?y ns:tv.regular_tv_appearance.actor ?x .	ns:fictional_universe.fictional_character.gender ?y .?y ns:base.schemastaging.context_name.pronunciation ?x .
who played bob ewell in <e>?	ns:film.film.starring ?y .?y ns:film.performance.actor ?x .	ns:film.film.runtime ?y .?y ns:type.object.type ?x .
what type of monarchy did <e> have during the glorious revolution?	ns:location.country.form_of_government ?x .	ns:location.location.events ?x .
what film <e> starred in that billy chung directed	ns:film.actor.film ?y .?y ns:film.performance.film ?x .	ns:award.award_nominee.award_nominations ?y .?y ns:award.award_nomination.year ?x .
which research centre did <e> attend	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.gender ?y .?y ns:user.maxim75.default_domain.dbpedia_import.geocode_checked ?x .
what school did <e> go to before auburn?	ns:people.person.education ?y .?y ns:education.education.institution ?x .	ns:people.person.parents ?y .?y ns:type.object.type ?x .
what team did Shaq play for before the Lakers?	ns:sports.drafted_athlete.drafted ?y .?y ns:sports.sports_league_draft_pick.team ?x .	ns:basketball.basketball_player.career_averages ?y .?y ns:basketball.basketball_player_career_stats.player ?x .
which 1990 sport athlete was known by the nickname <e>?	ns:sports.pro_athlete.teams ?y .?y ns:sports.sports_team_roster.player ?x .	ns:baseball.baseball_player.bats ?y .?y ns:book.book_subject.works ?x .
who was the first wife of <e> muhammad?	ns:people.person.spouse_s ?y .?y ns:people.marriage.spouse ?x .	ns:people.person.parents ?y .?y ns:people.deceased_person.date_of_death ?x .
who was the voice of <e> in episode iii?	ns:film.film_character.portrayed_in_films ?y .?y ns:film.performance.actor ?x .	ns:base.fictionaluniverse.deceased_fictional_character.place_of_cremation ?y .?y ns:fictional_universe.fictional_setting.universe ?x .
who is the athor of <e>?	ns:film.film.story_by ?x .	ns:film.film.directed_by ?x .
who won the nobel <e> in 2007?	ns:award.award_category.winners ?y .?y ns:award.award_honor.award_winner ?x .	ns:freebase.valuenotation.is_reviewed ?y .?y ns:freebase.documented_object.tip ?x .
who is the new senator of <e>?	ns:government.political_district.representatives ?y .?y ns:government.government_position_held.office_holder ?x .	ns:government.governmental_jurisdiction.agencies ?y .?y ns:common.topic.notable_types ?x .
